timeraw,date,player,change,elo,rank
1680893637,"Friday, April 7, 2023 8:53 PM","finx80#6969",-19,2155,"Immortal 1"
1680895843,"Friday, April 7, 2023 9:30 PM","S is for Salt#TF77",17,1918,"Ascendant 2"
1680911731,"Saturday, April 8, 2023 1:55 AM","S is for Salt#TF77",12,1930,"Ascendant 2"
1680911731,"Saturday, April 8, 2023 1:55 AM","Phyzzl#2702",10,1525,"Diamond 1"
1680912466,"Saturday, April 8, 2023 2:07 AM","Basil#007",-18,1076,"Gold 2"
1680482350,"Monday, April 3, 2023 2:39 AM","pickle#169",-14,1515,"Diamond 1"
1680485550,"Monday, April 3, 2023 3:32 AM","pickle#169",18,1533,"Diamond 1"
1680835490,"Friday, April 7, 2023 4:44 AM","pickle#169",23,1556,"Diamond 1"
1680838036,"Friday, April 7, 2023 5:27 AM","pickle#169",-11,1545,"Diamond 1"
1680840995,"Friday, April 7, 2023 6:16 AM","pickle#169",17,1562,"Diamond 1"
1680898514,"Friday, April 7, 2023 10:15 PM","pickle#169",-15,1547,"Diamond 1"
1680901273,"Friday, April 7, 2023 11:01 PM","pickle#169",24,1571,"Diamond 1"
1680904703,"Friday, April 7, 2023 11:58 PM","pickle#169",-17,1554,"Diamond 1"
1680911731,"Saturday, April 8, 2023 1:55 AM","pickle#169",14,1568,"Diamond 1"
1680973549,"Saturday, April 8, 2023 7:05 PM","Raison163#NA1",17,1317,"Platinum 2"
1680973549,"Saturday, April 8, 2023 7:05 PM","ninicoco1#NA1",26,972,"Gold 1"
1680989651,"Saturday, April 8, 2023 11:34 PM","Raison163#NA1",26,1343,"Platinum 2"
1680989651,"Saturday, April 8, 2023 11:34 PM","Basil#007",20,1096,"Gold 2"
1680992040,"Sunday, April 9, 2023 12:14 AM","Raison163#NA1",-16,1327,"Platinum 2"
1680992040,"Sunday, April 9, 2023 12:14 AM","Basil#007",-16,1080,"Gold 2"
1681004369,"Sunday, April 9, 2023 3:39 AM","ninicoco1#NA1",-21,951,"Gold 1"
1681012630,"Sunday, April 9, 2023 5:57 AM","Phyzzl#2702",19,1544,"Diamond 1"
1681015717,"Sunday, April 9, 2023 6:48 AM","Phyzzl#2702",17,1561,"Diamond 1"
1681098217,"Monday, April 10, 2023 5:43 AM","Basil#007",14,1094,"Gold 2"
1681100852,"Monday, April 10, 2023 6:27 AM","Basil#007",-22,1072,"Gold 2"
1681156676,"Monday, April 10, 2023 9:57 PM","Basil#007",15,1087,"Gold 2"
1681159526,"Monday, April 10, 2023 10:45 PM","Basil#007",20,1110,"Gold 3"
1681161582,"Monday, April 10, 2023 11:19 PM","Basil#007",-22,1100,"Gold 3"
1681167343,"Tuesday, April 11, 2023 12:55 AM","S is for Salt#TF77",18,1948,"Ascendant 2"
1681167343,"Tuesday, April 11, 2023 12:55 AM","finx80#6969",16,2171,"Immortal 1"
1681168477,"Tuesday, April 11, 2023 1:14 AM","rin#jane",10,735,"Silver 2"
1681169482,"Tuesday, April 11, 2023 1:31 AM","S is for Salt#TF77",-21,1927,"Ascendant 2"
1681169482,"Tuesday, April 11, 2023 1:31 AM","finx80#6969",-19,2152,"Immortal 1"
1681174927,"Tuesday, April 11, 2023 3:02 AM","rin#jane",18,753,"Silver 2"
1681180991,"Tuesday, April 11, 2023 4:43 AM","Ouress#NA2",-21,1773,"Diamond 3"
1681182425,"Tuesday, April 11, 2023 5:07 AM","Ouress#NA2",-23,1750,"Diamond 3"
1681184048,"Tuesday, April 11, 2023 5:34 AM","Ouress#NA2",-13,1737,"Diamond 3"
1681214330,"Tuesday, April 11, 2023 1:58 PM","finx80#6969",-21,2131,"Immortal 1"
1681238760,"Tuesday, April 11, 2023 8:46 PM","S is for Salt#TF77",-16,1911,"Ascendant 2"
1681247640,"Tuesday, April 11, 2023 11:14 PM","S is for Salt#TF77",-22,1900,"Ascendant 2"
1681250233,"Tuesday, April 11, 2023 11:57 PM","Raison163#NA1",-18,1309,"Platinum 2"
1681250233,"Tuesday, April 11, 2023 11:57 PM","Basil#007",-22,1078,"Gold 2"
1681252041,"Wednesday, April 12, 2023 12:27 AM","Basil#007",-21,1057,"Gold 2"
1681263504,"Wednesday, April 12, 2023 3:38 AM","rin#jane",-9,744,"Silver 2"
1681266117,"Wednesday, April 12, 2023 4:21 AM","rin#jane",30,774,"Silver 2"
1681283540,"Wednesday, April 12, 2023 9:12 AM","Phyzzl#2702",-24,1537,"Diamond 1"
1681285138,"Wednesday, April 12, 2023 9:38 AM","Phyzzl#2702",-22,1515,"Diamond 1"
1681286699,"Wednesday, April 12, 2023 10:04 AM","Phyzzl#2702",27,1542,"Diamond 1"
1681292702,"Wednesday, April 12, 2023 11:45 AM","S is for Salt#TF77",19,1919,"Ascendant 2"
1681295140,"Wednesday, April 12, 2023 12:25 PM","S is for Salt#TF77",17,1936,"Ascendant 2"
1681300781,"Wednesday, April 12, 2023 1:59 PM","S is for Salt#TF77",-20,1916,"Ascendant 2"
1681303665,"Wednesday, April 12, 2023 2:47 PM","Baman#0000",30,1017,"Gold 2"
1681303392,"Wednesday, April 12, 2023 2:43 PM","S is for Salt#TF77",16,1932,"Ascendant 2"
1681306492,"Wednesday, April 12, 2023 3:34 PM","S is for Salt#TF77",-22,1910,"Ascendant 2"
1681305725,"Wednesday, April 12, 2023 3:22 PM","ninicoco1#NA1",-30,921,"Gold 1"
1681305725,"Wednesday, April 12, 2023 3:22 PM","Baman#0000",-23,1000,"Gold 2"
1681309439,"Wednesday, April 12, 2023 4:23 PM","ninicoco1#NA1",-8,913,"Gold 1"
1681312554,"Wednesday, April 12, 2023 5:15 PM","ninicoco1#NA1",20,933,"Gold 1"
1681315329,"Wednesday, April 12, 2023 6:02 PM","ninicoco1#NA1",10,943,"Gold 1"
1681318938,"Wednesday, April 12, 2023 7:02 PM","S is for Salt#TF77",17,1927,"Ascendant 2"
1681346627,"Thursday, April 13, 2023 2:43 AM","Tigerfire77#SifS",16,1226,"Platinum 1"
1681351947,"Thursday, April 13, 2023 4:12 AM","rin#jane",21,795,"Silver 2"
1681354135,"Thursday, April 13, 2023 4:48 AM","rin#jane",-22,773,"Silver 2"
1681369674,"Thursday, April 13, 2023 9:07 AM","Basil#007",12,1069,"Gold 2"
1681372020,"Thursday, April 13, 2023 9:46 AM","Basil#007",27,1096,"Gold 2"
1681373968,"Thursday, April 13, 2023 10:19 AM","Basil#007",13,1110,"Gold 3"
1681424684,"Friday, April 14, 2023 12:24 AM","Baman#0000",-11,989,"Gold 1"
1681428536,"Friday, April 14, 2023 1:28 AM","Baman#0000",-22,967,"Gold 1"
1681433883,"Friday, April 14, 2023 2:58 AM","Phyzzl#2702",-23,1519,"Diamond 1"
1681441068,"Friday, April 14, 2023 4:57 AM","Phyzzl#2702",-22,1500,"Diamond 1"
1681441099,"Friday, April 14, 2023 4:58 AM","Basil#007",-15,1100,"Gold 3"
1681441099,"Friday, April 14, 2023 4:58 AM","Raison163#NA1",-27,1300,"Platinum 2"
1681498878,"Friday, April 14, 2023 9:01 PM","Raison163#NA1",-14,1286,"Platinum 1"
1681501611,"Friday, April 14, 2023 9:46 PM","Raison163#NA1",19,1310,"Platinum 2"
